#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682368898,126819,4980300,140.30.20.1,14,1590,4962364,4962680,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42736,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,2169,4962364,4962680,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42736,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,12,2105,4962544,4962688,0,0,140.30.20.5,152.148.48.4,140.30.20.2,334,334,22,41646,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1538,4962544,4962688,0,0,152.148.48.4,140.30.20.5,0.0.0.0,334,334,41646,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,12,2105,4962616,4962776,0,0,140.30.20.6,152.148.48.6,140.30.20.2,334,334,22,32844,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1538,4962640,4962768,0,0,152.148.48.6,140.30.20.8,0.0.0.0,334,334,44348,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,12,2105,4962640,4962768,0,0,140.30.20.8,152.148.48.6,140.30.20.2,334,334,22,44348,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1538,4962616,4962776,0,0,152.148.48.6,140.30.20.6,0.0.0.0,334,334,32844,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1538,4962672,4962812,0,0,152.148.48.5,140.30.20.7,0.0.0.0,334,334,56038,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,12,2105,4962672,4962812,0,0,140.30.20.7,152.148.48.5,140.30.20.2,334,334,22,56038,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,12,2105,4962676,4962804,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44206,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1538,4962676,4962804,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44206,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4962756,4963988,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42738,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4962892,4963984,0,0,152.148.48.4,140.30.20.5,0.0.0.0,334,334,41664,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4963044,4963988,0,0,152.148.48.5,140.30.20.7,0.0.0.0,334,334,56046,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,14,2257,4962756,4963988,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42738,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,15,2309,4963040,4963984,0,0,140.30.20.6,152.148.48.6,140.30.20.2,334,334,22,32848,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,14,2257,4963076,4963984,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44262,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4963040,4963984,0,0,152.148.48.6,140.30.20.6,0.0.0.0,334,334,32848,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4962996,4963988,0,0,152.148.48.6,140.30.20.8,0.0.0.0,334,334,44354,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,15,2309,4962892,4963984,0,0,140.30.20.5,152.148.48.4,140.30.20.2,334,334,22,41664,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,13,1570,4963076,4963984,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44262,22,6,0,27,0,0,0,0
1682368898,126819,4980300,140.30.20.1,15,2309,4962996,4963988,0,0,140.30.20.8,152.148.48.6,140.30.20.2,334,334,22,44354,6,0,27,0,0,0,0
